step 2730 used 42301312K, path: <PathGroup with 4644 deadended, 22 active>
step 2740 used 42482444K, path: <PathGroup with 4662 deadended, 23 active>
step 2750 used 42667060K, path: <PathGroup with 4682 deadended, 19 active>
step 2760 used 42847488K, path: <PathGroup with 4699 deadended, 21 active>
step 2770 used 43026696K, path: <PathGroup with 4714 deadended, 22 active>
step 2780 used 43208208K, path: <PathGroup with 4732 deadended, 23 active>
step 2790 used 43393040K, path: <PathGroup with 4752 deadended, 19 active>
step 2800 used 43573708K, path: <PathGroup with 4769 deadended, 21 active>
step 2810 used 43752956K, path: <PathGroup with 4784 deadended, 22 active>
step 2820 used 43909556K, path: <PathGroup with 4802 deadended, 23 active>
step 2830 used 44093696K, path: <PathGroup with 4822 deadended, 19 active>
step 2840 used 44274376K, path: <PathGroup with 4839 deadended, 21 active>
step 2850 used 44453644K, path: <PathGroup with 4854 deadended, 22 active>
step 2860 used 44635372K, path: <PathGroup with 4872 deadended, 23 active>
step 2870 used 44820204K, path: <PathGroup with 4892 deadended, 19 active>
step 2880 used 45001380K, path: <PathGroup with 4909 deadended, 21 active>
step 2890 used 45181764K, path: <PathGroup with 4924 deadended, 22 active>
step 2900 used 45363892K, path: <PathGroup with 4942 deadended, 23 active>
step 2910 used 45549200K, path: <PathGroup with 4962 deadended, 19 active>
step 2920 used 45730400K, path: <PathGroup with 4979 deadended, 21 active>
step 2930 used 45910376K, path: <PathGroup with 4994 deadended, 22 active>
step 2940 used 46066808K, path: <PathGroup with 5012 deadended, 23 active>
step 2950 used 46251264K, path: <PathGroup with 5032 deadended, 19 active>
step 2960 used 46432728K, path: <PathGroup with 5049 deadended, 21 active>
step 2970 used 46612752K, path: <PathGroup with 5064 deadended, 22 active>
step 2980 used 46798708K, path: <PathGroup with 5082 deadended, 23 active>
step 2990 used 46984440K, path: <PathGroup with 5102 deadended, 19 active>
step 3000 used 47166444K, path: <PathGroup with 5119 deadended, 21 active>
step 3010 used 47346772K, path: <PathGroup with 5134 deadended, 22 active>
step 3020 used 47530112K, path: <PathGroup with 5152 deadended, 23 active>
step 3030 used 47715924K, path: <PathGroup with 5172 deadended, 19 active>
step 3040 used 47898212K, path: <PathGroup with 5189 deadended, 21 active>
